"OpeningDate","Title","Studio","OpeningGross","OpeningTheaters","TotalGross","TotalTheaters"
2019-06-28,"Maiden","SPC",46931,6,2798852,180
2019-06-28,"The Other Side of Heaven 2: Fire of Faith","AAE",454257,205,1688629,205
2019-06-28,"Yesterday","Uni.",17010050,2603,73095395,2755
2019-06-26,"Annabelle Comes Home","WB (NL)",20269723,3613,72683994,3613
2019-06-25,"Kinky Boots The Musical (2019)","Fathom",386612,455,900451,492
2019-06-23,"Forest Gump 25th Anniversary","Fathom",114767,560,203088,560
2019-06-21,"Anna (2019)","LG/S",3600647,2114,7743794,2114
2019-06-21,"Child's Play (2019)","UAR",14094594,3007,29208403,3007
2019-06-21,"Toy Story 4","BV",120908065,4575,430457899,4575
2019-06-21,"Wild Rose","Neon",52938,4,1635117,195
2019-06-14,"5B","VM/RYOT",38314,128,72968,128
2019-06-14,"American Woman","RAtt.",110552,117,236637,117
2019-06-14,"Men in Black International","Sony",30035838,4224,79663907,4224
2019-06-14,"Shaft (2019)","WB (NL)",8901419,2952,21360215,2952
2019-06-14,"The Dead Don't Die","Focus",2540240,613,6563605,690
2019-06-07,"Dark Phoenix","Fox",32828348,3721,65845974,3721
2019-06-07,"Late Night","Amazon",246305,4,15499454,2220
2019-06-07,"Pavarotti","CBS",144032,19,4600249,288
2019-06-07,"The Last Black Man in San Francisco","A24",235272,7,4515719,207
2019-06-07,"The Secret Life of Pets 2","Uni.",46652680,4561,157833845,4564
2019-06-05,"Bharat","VPD",1252301,311,2971549,311
2019-06-02,"Saving Private Ryan (Fathom Event)","Fathom",265125,642,508694,642
2019-05-31,"Godzilla: King of the Monsters","WB",47776293,4108,110495191,4108
2019-05-31,"Ma (2019)","Uni.",18099805,2808,45373120,2816
2019-05-31,"Rocketman","Par.",25725722,3610,96350295,3610
2019-05-24,"Aladdin (2019)","BV",91500929,4476,354509665,4476
2019-05-24,"Booksmart","UAR",6933620,2505,22680962,2518
2019-05-24,"Brightburn","SGem",7845658,2607,17300439,2607
2019-05-24,"Echo in the Canyon","Greenwich",117651,2,3285841,147
2019-05-24,"India's Most Wanted","FIP",98322,110,176858,110
2019-05-22,"Asbury Park: Riot, Redemption, Rock & Roll","Trafalgar",7437,205,167684,270
2019-05-22,"The Tomorrow Man","BST",18281,4,354103,207
2019-05-19,"Bolshoi Ballet: Carmen/Petrushka (2019)","Fathom",207523,362,207523,362
2019-05-19,"TCM: Steel Magnolias 30th Anniversary","Fathom",495528,689,855421,689
2019-05-17,"A Dog's Journey","Uni.",8030085,3267,22546590,3279
2019-05-17,"De De Pyaar De","Yash",425934,104,425934,104
2019-05-17,"John Wick: Chapter 3 - Parabellum","LG/S",56818067,3850,170926873,3850
2019-05-17,"Photograph","Amazon",35796,13,344534,123
2019-05-17,"The Souvenir","A24",78400,4,1036737,145
2019-05-17,"The Sun Is Also a Star","WB",2511530,2073,4950029,2073
2019-05-17,"Trial by Fire","RAtt.",78817,109,148504,109
2019-05-10,"All Is True","SPC",44211,4,1200481,328
2019-05-10,"Biggest Little Farm","Neon",110492,5,4366949,285
2019-05-10,"Pokemon Detective Pikachu","WB",54365242,4202,144105346,4248
2019-05-10,"Poms","STX",5361937,2750,13631124,2750
2019-05-10,"Student of the Year 2","FIP",462108,190,778566,190
2019-05-10,"The Hustle","UAR",13007709,3007,35417038,3077
2019-05-10,"Tolkien","FoxS",2200537,1495,4535154,1501
2019-05-05,"Code Geass: Lelouch of the Resurrection","FUN",189617,479,522805,490
2019-05-05,"TCM: True Grit 50th Anniversary","Fathom",157788,614,276418,614
2019-05-04,"Batman (1989) 30th Anniversary","Fathom",159419,489,159419,489
2019-05-04,"Canelo vs. Jacobs","Fathom",230703,426,230703,426
2019-05-03,"Ask Dr. Ruth","Magn.",93128,104,297195,110
2019-05-03,"El Chicano","Briarcliff",700261,605,1400603,605
2019-05-03,"Long Shot","LG/S",9740064,3230,30316271,3230
2019-05-03,"The Intruder (2019)","SGem",10855054,2222,35419122,2231
2019-05-03,"Uglydolls","STX",8603407,3652,20150241,3652
2019-04-26,"Avengers: Endgame","BV",357115007,4662,858354001,4662
2019-04-26,"The White Crow","SPC",78782,5,1828784,365
2019-04-22,"Okko's Inn","GK",763,1,134787,465
2019-04-19,"Family (2019)","TFA",19586,3,194601,107
2019-04-19,"Red Joan","IFC",38949,4,1579730,195
2019-04-19,"The Curse of La Llorona","WB (NL)",26347631,3372,54733739,3372
2019-04-18,"Monty Python's Life of Brian (40th Anniversary)","Trafalgar",18005,47,161507,125
2019-04-18,"The Pilgrim's Progress","Fathom",678647,706,1294596,758
2019-04-17,"Breakthrough","Fox",11282333,2824,40713082,2913
2019-04-17,"Kalank","FIP",1276581,320,2729336,320
2019-04-17,"Penguins (Disneynature)","BV",2282593,1815,7699452,1815
2019-04-14,"Ben-Hur (60th Anniversary)","Fathom",241792,649,422622,649
2019-04-12,"After (2019)","Aviron",6002349,2138,12138565,2138
2019-04-12,"Hellboy (2019)","LG/S",12045147,3303,21903748,3303
2019-04-12,"Little","Uni.",15405455,2667,40673960,2667
2019-04-12,"Mia and the White Lion","Ledafilms",192816,312,399471,312
2019-04-12,"Missing Link","UAR",5944950,3413,16649539,3437
2019-04-12,"Penguin Highway","Elev.",22833,84,104567,168
2019-04-12,"Teen Spirit","BST",43620,4,441366,696
2019-04-10,"The Man Who Killed Don Quixote","Scre.",12756,10,391963,756
2019-04-09,"NOAH The Musical","Fathom",392734,602,1035603,669
2019-04-07,"Bolshoi Ballet: The Golden Age (2019)","Fathom",171916,360,171916,360
2019-04-07,"Howl's Moving Castle: 15th Anniverary - Studio Ghibli (2019)","Fathom",368180,748,865647,748
2019-04-05,"High Life","A24",99341,4,1225852,146
2019-04-05,"Pet Sematary (2019)","Par.",24502775,3585,54724696,3585
2019-04-05,"Romeo Akbar Walter","Eros",142102,101,236299,101
2019-04-05,"Shazam!","WB (NL)",53505326,4217,140371656,4306
2019-04-05,"The Best of Enemies","STX",4446190,1705,10205616,1705
2019-04-05,"The Public","Greenwich",259455,263,573503,263
2019-03-31,"Karate Kid (35th Anniversary)","Fathom",140623,588,215447,588
2019-03-29,"Dumbo (2019)","BV",45990748,4259,114766307,4259
2019-03-29,"The Beach Bum","Neon",1763070,1100,3502600,1100
2019-03-29,"Unplanned","PFR",6382298,1059,18988743,1516
2019-03-28,"The Brink","Magn.",18063,4,106057,124
